"id","parent_id","name","pinyin","pinyin_prefix","level"
"110000000000","0","北京市","bei jing shi","B","1"
"110100000000","110000000000","市辖区","shi xia qu","S","2"
"110101000000","110100000000","东城区","dong cheng qu","D","3"
"110101001000","110101000000","东华门街道","dong hua men jie dao","D","4"
"110101002000","110101000000","景山街道","jing shan jie dao","J","4"
"110101003000","110101000000","交道口街道","jiao dao kou jie dao","J","4"
"110101004000","110101000000","安定门街道","an ding men jie dao","A","4"
"110101005000","110101000000","北新桥街道","bei xin qiao jie dao","B","4"
"110101006000","110101000000","东四街道","dong si jie dao","D","4"
"110101007000","110101000000","朝阳门街道","zhao yang men jie dao","Z","4"
"110101008000","110101000000","建国门街道","jian guo men jie dao","J","4"
"110101009000","110101000000","东直门街道","dong zhi men jie dao","D","4"
"110101010000","110101000000","和平里街道","he ping li jie dao","H","4"
"110101011000","110101000000","前门街道","qian men jie dao","Q","4"
"110101012000","110101000000","崇文门外街道","chong wen men wai jie dao","C","4"
"110101013000","110101000000","东花市街道","dong hua shi jie dao","D","4"
"110101014000","110101000000","龙潭街道","long tan jie dao","L","4"
"110101015000","110101000000","体育馆路街道","ti yu guan lu jie dao","T","4"
"110101016000","110101000000","天坛街道","tian tan jie dao","T","4"
"110101017000","110101000000","永定门外街道","yong ding men wai jie dao","Y","4"
"110102000000","110100000000","西城区","xi cheng qu","X","3"
"110102001000","110102000000","西长安街街道","xi chang an jie jie dao","X","4"
"110102003000","110102000000","新街口街道","xin jie kou jie dao","X","4"
"110102007000","110102000000","月坛街道","yue tan jie dao","Y","4"
"110102009000","110102000000","展览路街道","zhan lan lu jie dao","Z","4"
"110102010000","110102000000","德胜街道","de sheng jie dao","D","4"
"110102011000","110102000000","金融街街道","jin rong jie jie dao","J","4"
"110102012000","110102000000","什刹海街道","shi cha hai jie dao","S","4"
"110102013000","110102000000","大栅栏街道","da zha lan jie dao","D","4"
"110102014000","110102000000","天桥街道","tian qiao jie dao","T","4"
"110102015000","110102000000","椿树街道","chun shu jie dao","C","4"
"110102016000","110102000000","陶然亭街道","tao ran ting jie dao","T","4"
"110102017000","110102000000","广安门内街道","guang an men nei jie dao","G","4"
"110102018000","110102000000","牛街街道","niu jie jie dao","N","4"
"110102019000","110102000000","白纸坊街道","bai zhi fang jie dao","B","4"
"110102020000","110102000000","广安门外街道","guang an men wai jie dao","G","4"
