"id","parent_id","name","pinyin","pinyin_prefix","level"
"130433000000","130400000000","馆陶县","guan tao xian","G","3"
"130434000000","130400000000","魏县","wei xian","W","3"
"130435000000","130400000000","曲周县","qu zhou xian","Q","3"
"130471000000","130400000000","邯郸经济技术开发区","han dan jing ji ji shu kai fa qu","H","3"
"130473000000","130400000000","邯郸冀南新区","han dan ji nan xin qu","H","3"
"130481000000","130400000000","武安市","wu an shi","W","3"
"130500000000","130000000000","邢台市","xing tai shi","X","2"
"130502000000","130500000000","襄都区","xiang dou qu","X","3"
"130503000000","130500000000","信都区","xin dou qu","X","3"
"130505000000","130500000000","任泽区","ren ze qu","R","3"
"130506000000","130500000000","南和区","nan he qu","N","3"
"130522000000","130500000000","临城县","lin cheng xian","L","3"
"130523000000","130500000000","内丘县","nei qiu xian","N","3"
"130524000000","130500000000","柏乡县","bai xiang xian","B","3"
"130525000000","130500000000","隆尧县","long yao xian","L","3"
"130528000000","130500000000","宁晋县","ning jin xian","N","3"
"130529000000","130500000000","巨鹿县","ju lu xian","J","3"
"130530000000","130500000000","新河县","xin he xian","X","3"
"130531000000","130500000000","广宗县","guang zong xian","G","3"
"130532000000","130500000000","平乡县","ping xiang xian","P","3"
"130533000000","130500000000","威县","wei xian","W","3"
"130534000000","130500000000","清河县","qing he xian","Q","3"
"130535000000","130500000000","临西县","lin xi xian","L","3"
"130571000000","130500000000","河北邢台经济开发区","he bei xing tai jing ji kai fa qu","H","3"
"130581000000","130500000000","南宫市","nan gong shi","N","3"
"130582000000","130500000000","沙河市","sha he shi","S","3"
"130600000000","130000000000","保定市","bao ding shi","B","2"
"130602000000","130600000000","竞秀区","jing xiu qu","J","3"
"130606000000","130600000000","莲池区","lian chi qu","L","3"
"130607000000","130600000000","满城区","man cheng qu","M","3"
"130608000000","130600000000","清苑区","qing yuan qu","Q","3"
"130609000000","130600000000","徐水区","xu shui qu","X","3"
"130623000000","130600000000","涞水县","lai shui xian","L","3"
"130624000000","130600000000","阜平县","fu ping xian","F","3"
"130626000000","130600000000","定兴县","ding xing xian","D","3"
"130627000000","130600000000","唐县","tang xian","T","3"
"130628000000","130600000000","高阳县","gao yang xian","G","3"
"130629000000","130600000000","容城县","rong cheng xian","R","3"
"130630000000","130600000000","涞源县","lai yuan xian","L","3"
"130631000000","130600000000","望都县","wang du xian","W","3"
"130632000000","130600000000","安新县","an xin xian","A","3"
"130633000000","130600000000","易县","yi xian","Y","3"
"130634000000","130600000000","曲阳县","qu yang xian","Q","3"
"130635000000","130600000000","蠡县","li xian","L","3"
"130636000000","130600000000","顺平县","shun ping xian","S","3"
"130637000000","130600000000","博野县","bo ye xian","B","3"
"130638000000","130600000000","雄县","xiong xian","X","3"
"130671000000","130600000000","保定高新技术产业开发区","bao ding gao xin ji shu chan ye kai fa qu","B","3"
"130672000000","130600000000","保定白沟新城","bao ding bai gou xin cheng","B","3"
"130681000000","130600000000","涿州市","zhuo zhou shi","Z","3"
"130682000000","130600000000","定州市","ding zhou shi","D","3"
"130683000000","130600000000","安国市","an guo shi","A","3"
"130684000000","130600000000","高碑店市","gao bei dian shi","G","3"
"130700000000","130000000000","张家口市","zhang jia kou shi","Z","2"
"130702000000","130700000000","桥东区","qiao dong qu","Q","3"
"130703000000","130700000000","桥西区","qiao xi qu","Q","3"
"130705000000","130700000000","宣化区","xuan hua qu","X","3"
"130706000000","130700000000","下花园区","xia hua yuan qu","X","3"
"130708000000","130700000000","万全区","wan quan qu","W","3"
"130709000000","130700000000","崇礼区","chong li qu","C","3"
"130722000000","130700000000","张北县","zhang bei xian","Z","3"
"130723000000","130700000000","康保县","kang bao xian","K","3"
"130724000000","130700000000","沽源县","gu yuan xian","G","3"
"130725000000","130700000000","尚义县","shang yi xian","S","3"
"130726000000","130700000000","蔚县","yu xian","Y","3"
"130727000000","130700000000","阳原县","yang yuan xian","Y","3"
"130728000000","130700000000","怀安县","huai an xian","H","3"
"130730000000","130700000000","怀来县","huai lai xian","H","3"
"130731000000","130700000000","涿鹿县","zhuo lu xian","Z","3"
"130732000000","130700000000","赤城县","chi cheng xian","C","3"
"130771000000","130700000000","张家口经济开发区","zhang jia kou jing ji kai fa qu","Z","3"
"130772000000","130700000000","张家口市察北管理区","zhang jia kou shi cha bei guan li qu","Z","3"
"130773000000","130700000000","张家口市塞北管理区","zhang jia kou shi sai bei guan li qu","Z","3"
"130800000000","130000000000","承德市","cheng de shi","C","2"
"130802000000","130800000000","双桥区","shuang qiao qu","S","3"
"130803000000","130800000000","双滦区","shuang luan qu","S","3"
"130804000000","130800000000","鹰手营子矿区","ying shou ying zi kuang qu","Y","3"
"130821000000","130800000000","承德县","cheng de xian","C","3"
"130822000000","130800000000","兴隆县","xing long xian","X","3"
"130824000000","130800000000","滦平县","luan ping xian","L","3"
"130825000000","130800000000","隆化县","long hua xian","L","3"
"130826000000","130800000000","丰宁满族自治县","feng ning man zu zi zhi xian","F","3"
"130827000000","130800000000","宽城满族自治县","kuan cheng man zu zi zhi xian","K","3"
"130828000000","130800000000","围场满族蒙古族自治县","wei chang man zu meng gu zu zi zhi xian","W","3"
"130871000000","130800000000","承德高新技术产业开发区","cheng de gao xin ji shu chan ye kai fa qu","C","3"
"130881000000","130800000000","平泉市","ping quan shi","P","3"
"130900000000","130000000000","沧州市","cang zhou shi","C","2"
"130902000000","130900000000","新华区","xin hua qu","X","3"
"130903000000","130900000000","运河区","yun he qu","Y","3"
"130921000000","130900000000","沧县","cang xian","C","3"
"130922000000","130900000000","青县","qing xian","Q","3"
"130923000000","130900000000","东光县","dong guang xian","D","3"
"130924000000","130900000000","海兴县","hai xing xian","H","3"
"130925000000","130900000000","盐山县","yan shan xian","Y","3"
"130926000000","130900000000","肃宁县","su ning xian","S","3"
"130927000000","130900000000","南皮县","nan pi xian","N","3"
"130928000000","130900000000","吴桥县","wu qiao xian","W","3"
"130929000000","130900000000","献县","xian xian","X","3"
"130930000000","130900000000","孟村回族自治县","meng cun hui zu zi zhi xian","M","3"
"130971000000","130900000000","河北沧州经济开发区","he bei cang zhou jing ji kai fa qu","H","3"
"130972000000","130900000000","沧州高新技术产业开发区","cang zhou gao xin ji shu chan ye kai fa qu","C","3"
"130973000000","130900000000","沧州渤海新区","cang zhou bo hai xin qu","C","3"
"130981000000","130900000000","泊头市","bo tou shi","B","3"
"130982000000","130900000000","任丘市","ren qiu shi","R","3"
"130983000000","130900000000","黄骅市","huang hua shi","H","3"
"130984000000","130900000000","河间市","he jian shi","H","3"
"131000000000","130000000000","廊坊市","lang fang shi","L","2"
"131002000000","131000000000","安次区","an ci qu","A","3"
"131003000000","131000000000","广阳区","guang yang qu","G","3"
"131022000000","131000000000","固安县","gu an xian","G","3"
"131023000000","131000000000","永清县","yong qing xian","Y","3"
"131024000000","131000000000","香河县","xiang he xian","X","3"
"131025000000","131000000000","大城县","dai cheng xian","D","3"
"131026000000","131000000000","文安县","wen an xian","W","3"
"131028000000","131000000000","大厂回族自治县","da chang hui zu zi zhi xian","D","3"
"131071000000","131000000000","廊坊经济技术开发区","lang fang jing ji ji shu kai fa qu","L","3"
"131081000000","131000000000","霸州市","ba zhou shi","B","3"
"131082000000","131000000000","三河市","san he shi","S","3"
"131100000000","130000000000","衡水市","heng shui shi","H","2"
"131102000000","131100000000","桃城区","tao cheng qu","T","3"
"131103000000","131100000000","冀州区","ji zhou qu","J","3"
"131121000000","131100000000","枣强县","zao qiang xian","Z","3"
"131122000000","131100000000","武邑县","wu yi xian","W","3"
"131123000000","131100000000","武强县","wu qiang xian","W","3"
"131124000000","131100000000","饶阳县","rao yang xian","R","3"
"131125000000","131100000000","安平县","an ping xian","A","3"
"131126000000","131100000000","故城县","gu cheng xian","G","3"
"131127000000","131100000000","景县","jing xian","J","3"
"131128000000","131100000000","阜城县","fu cheng xian","F","3"
"131171000000","131100000000","河北衡水高新技术产业开发区","he bei heng shui gao xin ji shu chan ye kai fa qu","H","3"
"131172000000","131100000000","衡水滨湖新区","heng shui bin hu xin qu","H","3"
"131182000000","131100000000","深州市","shen zhou shi","S","3"
"140000000000","0","山西省","shan xi sheng","S","1"
"140100000000","140000000000","太原市","tai yuan shi","T","2"
"140105000000","140100000000","小店区","xiao dian qu","X","3"
"140106000000","140100000000","迎泽区","ying ze qu","Y","3"
"140107000000","140100000000","杏花岭区","xing hua ling qu","X","3"
"140108000000","140100000000","尖草坪区","jian cao ping qu","J","3"
"140109000000","140100000000","万柏林区","wan bo lin qu","W","3"
"140110000000","140100000000","晋源区","jin yuan qu","J","3"
"140121000000","140100000000","清徐县","qing xu xian","Q","3"
"140122000000","140100000000","阳曲县","yang qu xian","Y","3"
"140123000000","140100000000","娄烦县","lou fan xian","L","3"
"140171000000","140100000000","山西转型综合改革示范区","shan xi zhuan xing zong he gai ge shi fan qu","S","3"
"140181000000","140100000000","古交市","gu jiao shi","G","3"
"140200000000","140000000000","大同市","da tong shi","D","2"
"140212000000","140200000000","新荣区","xin rong qu","X","3"
"140213000000","140200000000","平城区","ping cheng qu","P","3"
"140214000000","140200000000","云冈区","yun gang qu","Y","3"
"140215000000","140200000000","云州区","yun zhou qu","Y","3"
"140221000000","140200000000","阳高县","yang gao xian","Y","3"
"140222000000","140200000000","天镇县","tian zhen xian","T","3"
"140223000000","140200000000","广灵县","guang ling xian","G","3"
"140224000000","140200000000","灵丘县","ling qiu xian","L","3"
"140225000000","140200000000","浑源县","hun yuan xian","H","3"
"140226000000","140200000000","左云县","zuo yun xian","Z","3"
"140271000000","140200000000","山西大同经济开发区","shan xi da tong jing ji kai fa qu","S","3"
"140300000000","140000000000","阳泉市","yang quan shi","Y","2"
"140302000000","140300000000","城区","cheng qu","C","3"
"140303000000","140300000000","矿区","kuang qu","K","3"
"140311000000","140300000000","郊区","jiao qu","J","3"
"140321000000","140300000000","平定县","ping ding xian","P","3"
"140322000000","140300000000","盂县","yu xian","Y","3"
"140400000000","140000000000","长治市","chang zhi shi","C","2"
"140403000000","140400000000","潞州区","lu zhou qu","L","3"
"140404000000","140400000000","上党区","shang dang qu","S","3"
"140405000000","140400000000","屯留区","tun liu qu","T","3"
"140406000000","140400000000","潞城区","lu cheng qu","L","3"
"140423000000","140400000000","襄垣县","xiang yuan xian","X","3"
"140425000000","140400000000","平顺县","ping shun xian","P","3"
"140426000000","140400000000","黎城县","li cheng xian","L","3"
"140427000000","140400000000","壶关县","hu guan xian","H","3"
"140428000000","140400000000","长子县","chang zi xian","C","3"
"140429000000","140400000000","武乡县","wu xiang xian","W","3"
"140430000000","140400000000","沁县","qin xian","Q","3"
"140431000000","140400000000","沁源县","qin yuan xian","Q","3"
"140471000000","140400000000","山西长治高新技术产业园区","shan xi chang zhi gao xin ji shu chan ye yuan qu","S","3"
"140500000000","140000000000","晋城市","jin cheng shi","J","2"
"140502000000","140500000000","城区","cheng qu","C","3"
"140521000000","140500000000","沁水县","qin shui xian","Q","3"
"140522000000","140500000000","阳城县","yang cheng xian","Y","3"
"140524000000","140500000000","陵川县","ling chuan xian","L","3"
"140525000000","140500000000","泽州县","ze zhou xian","Z","3"
"140581000000","140500000000","高平市","gao ping shi","G","3"
"140600000000","140000000000","朔州市","shuo zhou shi","S","2"
"140602000000","140600000000","朔城区","shuo cheng qu","S","3"
"140603000000","140600000000","平鲁区","ping lu qu","P","3"
"140621000000","140600000000","山阴县","shan yin xian","S","3"
"140622000000","140600000000","应县","ying xian","Y","3"
"140623000000","140600000000","右玉县","you yu xian","Y","3"
"140671000000","140600000000","山西朔州经济开发区","shan xi shuo zhou jing ji kai fa qu","S","3"
"140681000000","140600000000","怀仁市","huai ren shi","H","3"
"140700000000","140000000000","晋中市","jin zhong shi","J","2"
"140702000000","140700000000","榆次区","yu ci qu","Y","3"
"140703000000","140700000000","太谷区","tai gu qu","T","3"
"140721000000","140700000000","榆社县","yu she xian","Y","3"
"140722000000","140700000000","左权县","zuo quan xian","Z","3"
"140723000000","140700000000","和顺县","he shun xian","H","3"
"140724000000","140700000000","昔阳县","xi yang xian","X","3"
"140725000000","140700000000","寿阳县","shou yang xian","S","3"
"140727000000","140700000000","祁县","qi xian","Q","3"
"140728000000","140700000000","平遥县","ping yao xian","P","3"
"140729000000","140700000000","灵石县","ling shi xian","L","3"
"140781000000","140700000000","介休市","jie xiu shi","J","3"
"140800000000","140000000000","运城市","yun cheng shi","Y","2"
"140802000000","140800000000","盐湖区","yan hu qu","Y","3"
"140821000000","140800000000","临猗县","lin yi xian","L","3"
"140822000000","140800000000","万荣县","wan rong xian","W","3"
"140823000000","140800000000","闻喜县","wen xi xian","W","3"
"140824000000","140800000000","稷山县","ji shan xian","J","3"
"140825000000","140800000000","新绛县","xin jiang xian","X","3"
"140826000000","140800000000","绛县","jiang xian","J","3"
"140827000000","140800000000","垣曲县","yuan qu xian","Y","3"
"140828000000","140800000000","夏县","xia xian","X","3"
"140829000000","140800000000","平陆县","ping lu xian","P","3"
"140830000000","140800000000","芮城县","rui cheng xian","R","3"
"140881000000","140800000000","永济市","yong ji shi","Y","3"
"140882000000","140800000000","河津市","he jin shi","H","3"
"140900000000","140000000000","忻州市","xin zhou shi","X","2"
"140902000000","140900000000","忻府区","xin fu qu","X","3"
"140921000000","140900000000","定襄县","ding xiang xian","D","3"
"140922000000","140900000000","五台县","wu tai xian","W","3"
"140923000000","140900000000","代县","dai xian","D","3"
"140924000000","140900000000","繁峙县","fan shi xian","F","3"
"140925000000","140900000000","宁武县","ning wu xian","N","3"
"140926000000","140900000000","静乐县","jing le xian","J","3"
"140927000000","140900000000","神池县","shen chi xian","S","3"
"140928000000","140900000000","五寨县","wu zhai xian","W","3"
"140929000000","140900000000","岢岚县","ke lan xian","K","3"
"140930000000","140900000000","河曲县","he qu xian","H","3"
"140931000000","140900000000","保德县","bao de xian","B","3"
"140932000000","140900000000","偏关县","pian guan xian","P","3"
"140971000000","140900000000","五台山风景名胜区","wu tai shan feng jing ming sheng qu","W","3"
"140981000000","140900000000","原平市","yuan ping shi","Y","3"
"141000000000","140000000000","临汾市","lin fen shi","L","2"
"141002000000","141000000000","尧都区","yao du qu","Y","3"
"141021000000","141000000000","曲沃县","qu wo xian","Q","3"
"141022000000","141000000000","翼城县","yi cheng xian","Y","3"
"141023000000","141000000000","襄汾县","xiang fen xian","X","3"
